album_id,album_name,album_type,artists,release_year,release_date,cover_album,total_tracks,available_markets,total_available_markets,album_uri
02w1xMzzdF2OJxTeh1basm,Fallen,album,Evanescence,2003,2003-03-04,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432,12,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:02w1xMzzdF2OJxTeh1basm
5SpQ4sf9sXFWHgUKYCZSDF,Anywhere But Home (Live),album,Evanescence,2004,2004-01-01,https://i.scdn.co/image/ab67616d0000b273448aba708690c87f0b043b5b,14,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:5SpQ4sf9sXFWHgUKYCZSDF
5oi50Gv8yvqAqPbWDdZhYA,Elektra: The Album,compilation,Various Artists,2005,2005-01-01,https://i.scdn.co/image/ab67616d0000b27305d3f73eed4ef3b671f94740,15,US,1,spotify:album:5oi50Gv8yvqAqPbWDdZhYA
3lFQ9ihSNR5YD0yi0yTzdC,The Open Door,album,Evanescence,2006,2006-01-01,https://i.scdn.co/image/ab67616d0000b2737b8aabae10ab5bbe7c7f11c5,13,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:3lFQ9ihSNR5YD0yi0yTzdC
7soKb31c9JTxBllcJ0J2KT,Now! 12,compilation,Various Artists,2007,2007-01-01,https://i.scdn.co/image/ab67616d0000b273d44a68a1cef90d4b4594561e,18,CA,1,spotify:album:7soKb31c9JTxBllcJ0J2KT
5jc6tOSK9BpocWWQgFo8Md,ThriveMix Presents: DanceAnthems 2,compilation,Various Artists,2008,2008-01-01,https://i.scdn.co/image/ab67616d0000b2733e0f45c75070ca7287e82f5c,16,US,1,spotify:album:5jc6tOSK9BpocWWQgFo8Md
0anDTe9W7YJ82hIpJCsYft,iMusic1 Rocks,compilation,Various Artists,2009,2009-08-28,https://i.scdn.co/image/ab67616d0000b2733593d27a32a55026f41e493e,39,"AT,CH,DE",3,spotify:album:0anDTe9W7YJ82hIpJCsYft
6HuLNUKcAkcIUSKZxRU9sO,Together Again,single,Evanescence,2010,2010-01-01,https://i.scdn.co/image/ab67616d0000b2737f15d4b3f79d3d0bd389b6f8,1,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:6HuLNUKcAkcIUSKZxRU9sO
65HdXCLpwIXZGt7kQe3bK6,Midnight Diaries,compilation,Various Artists,2010,2010-01-01,https://i.scdn.co/image/ab67616d0000b2732da0e7ac43443499e4900264,36,MX,1,spotify:album:65HdXCLpwIXZGt7kQe3bK6
3U85Q4GtR0I3VwgDOKHttO,Evanescence,album,Evanescence,2011,2011-01-01,https://i.scdn.co/image/ab67616d0000b273a694061dd2dead2b4b043a8d,12,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:3U85Q4GtR0I3VwgDOKHttO
0CHgu3JbE3Y0XQSejmQqLU,Evanescence (Deluxe Version),album,Evanescence,2011,2011-01-01,https://i.scdn.co/image/ab67616d0000b273d116026b6b4711886f9c80e6,16,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:0CHgu3JbE3Y0XQSejmQqLU
2hfaqbY4mY9JL2i0zfialy,Underworld Awakening (Original Motion Picture Soundtrack),compilation,Various Artists,2012,2012-01-17,https://i.scdn.co/image/ab67616d0000b27337f6c9e33821fe5965f58dca,17,"CA,US",2,spotify:album:2hfaqbY4mY9JL2i0zfialy
4eXolm0tNOLblagTVn6Wgy,Avengers Assemble (International Version),compilation,Various Artists,2012,2012-05-01,https://i.scdn.co/image/ab67616d0000b273caf88b4e571e541b9f699c3a,13,"AD,AR,AT,AU,BE,BG,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,GR,GT,HK,HN,HU,ID,IL,IN,IS,IT,JP,LT,LU,LV,MC,MT,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SK,SV,TH,TR,TW,UY,VN,ZA",60,spotify:album:4eXolm0tNOLblagTVn6Wgy
1rlLAIUGebTGikzzGBkQ0F,Teenage Dirtbags,compilation,Various Artists,2013,2013-01-01,https://i.scdn.co/image/ab67616d0000b273ced72ed442c9cd9bc9cef642,44,"GB,IE",2,spotify:album:1rlLAIUGebTGikzzGBkQ0F
4D10Iig1KomfsGz31wBZoX,Hits Forever - Greatest Love Songs,compilation,Various Artists,2013,2013-01-01,https://i.scdn.co/image/ab67616d0000b2735a9be36a81729900a37d0477,20,IN,1,spotify:album:4D10Iig1KomfsGz31wBZoX
76BX9WcjIOs7iOTZXxqp52,MNM Love Songs Vol.4,compilation,Various Artists,2014,2014-01-01,https://i.scdn.co/image/ab67616d0000b273f5703646f447bf6d619cb498,40,"BE,LU",2,spotify:album:76BX9WcjIOs7iOTZXxqp52
