album_name,album_release_date,album_release_year,track_id,track_name,track_duration,track_popularity,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Wasted On You,2020-04-24,2020,7ui6fTzMeE6JCr0GWvc14n,wasted on you,262499,59,https://p.scdn.co/mp3-preview/63aae1f4675e5848855f6236ae792f3a7fac22c2?cid=63a77ff40e794a12ae216a18befde98c,0.326,0.539,10,-6.862,0,0.0399,0.00096,0.00223,0.0644,0.217,185.731
The Chain,2019-11-22,2019,5F29kjOr9bYTUtSPLoixHB,the chain,252066,46,https://p.scdn.co/mp3-preview/96cb324c53460226c89a9f9a8631ffcd1621465b?cid=63a77ff40e794a12ae216a18befde98c,0.455,0.809,9,-5.845,1,0.0521,0.00286,0.000296,0.0998,0.237,76.036
Synthesis,2017-11-08,2017,3nK9XoQh7wR3iOaWfMLXAr,overture,57560,9,,0.149,0.056,9,-20.266,1,0.0453,0.963,0.745,0.108,0.0343,96.103
Synthesis,2017-11-08,2017,23M0gC4uZGwVhbWsHdtdyY,never go back,290546,11,,0.292,0.589,4,-5.541,0,0.0432,0.593,0.000696,0.164,0.0555,124.749
Synthesis,2017-11-08,2017,4HDd1hurlRFK7Mz1BCnv1f,hi lo,307720,12,,0.447,0.607,3,-6.533,0,0.0314,0.75,0.000278,0.106,0.258,92.895
Synthesis,2017-11-08,2017,39vxVtanm8oMZFulv5ADN3,my heart is broken,274626,10,,0.385,0.688,3,-4.109,0,0.0375,0.625,6.91e-05,0.0932,0.221,96.521
Synthesis,2017-11-08,2017,2RTEhHLCAqzxxofSbgFgc6,lacrymosa,222506,9,,0.316,0.646,4,-5.913,0,0.0646,0.764,0.000843,0.107,0.332,137.049
Synthesis,2017-11-08,2017,4xg5JOfESHPR3HNlFTHk7y,the end of the dream,294693,8,,0.207,0.433,10,-6.199,1,0.0347,0.346,5.94e-05,0.114,0.0386,93.908
Synthesis,2017-11-08,2017,4vHFFk4Vm9NWhGq2FAsTlj,bring me to life   synthesis,257320,6,,0.362,0.785,4,-3.876,0,0.0567,0.61,1.11e-06,0.0722,0.16,90.904
Synthesis,2017-11-08,2017,0u9gcuaTNga0Wwm8CBAQJx,unraveling   interlude,100680,3,,0.18,0.163,4,-15.121,0,0.0383,0.962,0.921,0.159,0.0563,147.564
Synthesis,2017-11-08,2017,3YDEMhG2ybcvHbiwCxlKFv,imaginary,243613,3,,0.348,0.785,4,-3.733,0,0.049,0.64,0.000282,0.514,0.248,150.206
Synthesis,2017-11-08,2017,6Eg995IkNCaAC2wVw9Bt76,secret door,228560,3,,0.37,0.631,4,-6.161,0,0.0304,0.838,0.000435,0.256,0.281,95.09
Synthesis,2017-11-08,2017,5IkyKwvNHd3c89dQYzIwnl,lithium,245466,4,,0.323,0.299,10,-6.414,0,0.0326,0.934,0.0,0.112,0.234,109.936
Synthesis,2017-11-08,2017,0rCglUpkuxhOPAelzvJZQU,lost in paradise,283933,4,,0.237,0.523,8,-6.244,1,0.0367,0.51,1.51e-05,0.113,0.128,112.816
Synthesis,2017-11-08,2017,14JN4CKfXYfOy3uOmV2mVA,your star,278266,3,,0.483,0.563,0,-6.473,0,0.0306,0.676,1.49e-06,0.116,0.0761,93.428
Synthesis,2017-11-08,2017,1DC9WrmSGo9de6zSCXoOdJ,my immortal,265666,3,,0.3,0.26,9,-7.457,1,0.0353,0.908,0.0,0.111,0.161,72.962
Synthesis,2017-11-08,2017,0V0yk6zzHy8isaQIMDoGJu,the in between   piano solo,131893,3,,0.298,0.0825,7,-19.268,0,0.0396,0.973,0.882,0.478,0.0382,95.503
Synthesis,2017-11-08,2017,4jdfxZWpcsTIAYs37OcY1y,imperfection,262893,10,,0.527,0.832,5,-3.593,0,0.0615,0.204,4.38e-05,0.108,0.339,83.04
Lost Whispers,2016-01-01,2016,651g6g8RLhF5dN7lyb9f5N,lost whispers   intro,58596,0,,0.344,0.315,7,-16.337,1,0.0766,0.407,0.386,0.181,0.263,179.968
Lost Whispers,2016-01-01,2016,4VO8CRItRuli3cnQLBDpvv,even in death   2016 version,261537,48,,0.315,0.327,4,-6.977,0,0.0306,0.881,8.02e-05,0.11,0.0633,179.853
Lost Whispers,2016-01-01,2016,4EMVX83u8TXyl6Pwl0nPmy,missing,255721,41,,0.313,0.592,2,-5.61,0,0.031,0.463,3.34e-06,0.369,0.124,174.839
