album_name,album_release_date,album_release_year,track_id,track_name,track_duration,track_popularity,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Enter,1997-04-06,1997,6yOA6NAk0fEkWQqC978YH9,restless,368026,36,https://p.scdn.co/mp3-preview/bf3243dc56c61d0f4a41ba89cdab75906c6e0f2f?cid=63a77ff40e794a12ae216a18befde98c,0.526,0.65,0,-8.221,0,0.0284,0.000497,0.000206,0.22,0.0664,117.947
Enter,1997-04-06,1997,1yKW3AnE8R6aAy98WBr4Hz,enter,434613,34,https://p.scdn.co/mp3-preview/2878276ec0c5aecfff2b2f6ad0016cb37a7da598?cid=63a77ff40e794a12ae216a18befde98c,0.466,0.712,7,-7.225,0,0.0345,2.05e-05,0.0183,0.432,0.148,110.74
Enter,1997-04-06,1997,4l11flUAof8YYKPGjKjAVd,pearls of light,314600,24,https://p.scdn.co/mp3-preview/641fa32ef859657c73211352599e793c6addaa69?cid=63a77ff40e794a12ae216a18befde98c,0.388,0.647,2,-6.804,0,0.0281,0.00141,0.0673,0.0891,0.0377,107.83
Enter,1997-04-06,1997,0naAw7isodSoXESRN3CIMv,deep within,270160,23,https://p.scdn.co/mp3-preview/c063381d178307aff32f72f21c102bc03b6d3c3b?cid=63a77ff40e794a12ae216a18befde98c,0.522,0.896,7,-7.532,1,0.0307,6.16e-06,0.886,0.11,0.439,114.783
Enter,1997-04-06,1997,3uNvjXzIedlYI98Ims9GfZ,gatekeeper,403160,23,https://p.scdn.co/mp3-preview/66305ed15b77e91246417352968b014d5441ffc6?cid=63a77ff40e794a12ae216a18befde98c,0.152,0.79,0,-7.131,1,0.0425,1.77e-05,0.823,0.232,0.0398,165.035
Enter,1997-04-06,1997,1yZcaHEc0rlpZHl1IiDXSS,grace,309653,21,https://p.scdn.co/mp3-preview/b2387eee4906b4d1672f67827a9a56df2c247a21?cid=63a77ff40e794a12ae216a18befde98c,0.417,0.722,7,-6.457,0,0.034,6.65e-06,0.116,0.25,0.124,117.747
Enter,1997-04-06,1997,3y2jFxZ6EYiqnR0pMUQm0g,blooded,217760,21,https://p.scdn.co/mp3-preview/bce8cc79ec378244d47f08bb8e80f19c799d0978?cid=63a77ff40e794a12ae216a18befde98c,0.465,0.839,7,-7.315,0,0.0349,1.73e-06,0.827,0.305,0.405,114.997
Enter,1997-04-06,1997,4WsYyDO1MrvbCSpG1297uF,candles,427066,23,https://p.scdn.co/mp3-preview/67f53408edbe58b48fad290556959f4899037eb6?cid=63a77ff40e794a12ae216a18befde98c,0.455,0.665,7,-8.529,0,0.0307,0.00244,0.431,0.168,0.0531,127.762
Mother Earth,2000-12-24,2000,7Gl9cKtVjRN6KHNMfV1gD3,mother earth,329533,41,https://p.scdn.co/mp3-preview/7aa3c1b8f5397d70db36f9ce032c92cfb0036bbb?cid=63a77ff40e794a12ae216a18befde98c,0.426,0.587,1,-5.823,0,0.0286,0.0231,0.00087,0.311,0.147,104.96
Mother Earth,2000-12-24,2000,6WISqX9A2CwDs9Xnd9uz6p,ice queen,321333,45,https://p.scdn.co/mp3-preview/243c23fe4d566ab3ac970c9e65191a0dd3ebc3d4?cid=63a77ff40e794a12ae216a18befde98c,0.159,0.556,8,-7.848,0,0.0322,0.0327,0.00236,0.108,0.15,88.195
Mother Earth,2000-12-24,2000,5eBaZyxZc5IgviFyMsSqVM,our farewell,319706,31,https://p.scdn.co/mp3-preview/dee2d7c1e72fa26d7eea371083da8f93e1ded37a?cid=63a77ff40e794a12ae216a18befde98c,0.477,0.227,4,-11.975,1,0.0327,0.879,0.0025,0.104,0.064,114.986
Mother Earth,2000-12-24,2000,2VKqMKKCFhTPczQb10TMKB,caged,347800,22,https://p.scdn.co/mp3-preview/e157f6c6e3bcf3050e03e399f1eb3c09e7f51294?cid=63a77ff40e794a12ae216a18befde98c,0.405,0.531,6,-6.0,0,0.0284,0.377,0.0,0.11,0.142,111.998
Mother Earth,2000-12-24,2000,15EIoovCb0aplgh64X3mTX,the promise,479720,22,https://p.scdn.co/mp3-preview/043ad842676341fb6606586f111ca46ba619ef97?cid=63a77ff40e794a12ae216a18befde98c,0.202,0.479,6,-7.926,0,0.0325,0.0599,0.000184,0.0873,0.0677,160.034
Mother Earth,2000-12-24,2000,5STGuT6TzYESk0uuz9CHZj,never ending story,244453,23,https://p.scdn.co/mp3-preview/8caa2ea4386135977366671b1e9b949b75ed9873?cid=63a77ff40e794a12ae216a18befde98c,0.634,0.322,2,-11.425,0,0.0301,0.435,0.000427,0.141,0.135,137.083
Mother Earth,2000-12-24,2000,1rzop9KWkxcU7CAzi6b2Aq,deceiver of fools,457080,22,https://p.scdn.co/mp3-preview/8b872b9e32252024c017c424d82617bb49fceadb?cid=63a77ff40e794a12ae216a18befde98c,0.17,0.475,1,-6.689,0,0.0332,0.428,0.000225,0.113,0.078,76.248
Mother Earth,2000-12-24,2000,6awSRXTUR6LZFq9ijxSOcT,intro,65920,15,https://p.scdn.co/mp3-preview/9d0045bd1afd8c1d891276a65e551ba206e879a3?cid=63a77ff40e794a12ae216a18befde98c,0.373,0.439,7,-13.27,0,0.0318,0.9,0.96,0.698,0.0811,124.098
Mother Earth,2000-12-24,2000,1mNdMZFtpkOgwOxRIkGpr6,dark wings,253893,21,https://p.scdn.co/mp3-preview/48f202b039ff3a1be2769baa35596268ac95e7af?cid=63a77ff40e794a12ae216a18befde98c,0.504,0.637,6,-4.93,0,0.0318,0.128,0.0,0.34,0.294,119.893
Mother Earth,2000-12-24,2000,2Y7cKGD4mm9gXXHvUDIxvl,in perfect harmony,419453,23,https://p.scdn.co/mp3-preview/3aba1baa7c7af95e113c68bae4612919f7892905?cid=63a77ff40e794a12ae216a18befde98c,0.336,0.353,2,-10.836,1,0.0331,0.907,0.00157,0.205,0.112,113.877
Mother Earth,2000-12-24,2000,5gZmBmOUT0lQclWl59lKYW,deceiver of fools (live),441480,15,https://p.scdn.co/mp3-preview/59e2e7df37c22bc43ae6e2c2f27d39f0e92a7571?cid=63a77ff40e794a12ae216a18befde98c,0.221,0.697,1,-4.881,0,0.0405,0.0925,3.75e-06,0.571,0.104,118.232
Mother Earth,2000-12-24,2000,2IOZumpwRsOr7slRXZwdOV,caged (live),349613,14,https://p.scdn.co/mp3-preview/da425d6bd109d082e6ccbf27f439071e370cb0ff?cid=63a77ff40e794a12ae216a18befde98c,0.37,0.764,6,-4.114,0,0.0473,0.0136,0.0,0.989,0.12,111.909
Mother Earth,2000-12-24,2000,2gxBsbD3GVXh9UvX5IGewG,candles (live),414746,14,https://p.scdn.co/mp3-preview/a1c1de4b7e3be17c25d63fcb6fe15334ae3c192f?cid=63a77ff40e794a12ae216a18befde98c,0.417,0.673,7,-7.042,0,0.0352,0.137,0.0301,0.926,0.0701,127.431
Mother Earth,2000-12-24,2000,6JFFLszx2KTa7vpjU4bui1,ice queen (live),316160,20,https://p.scdn.co/mp3-preview/97bff819a0d3f224a1b416644c29f4a6e0e7848f?cid=63a77ff40e794a12ae216a18befde98c,0.247,0.769,8,-4.649,0,0.0523,0.0102,0.0,0.378,0.251,92.44
The Silent Force,2004-11-15,2004,0CwkOVolvoJhO9Q2OH7zJf,see who i am,291533,43,https://p.scdn.co/mp3-preview/8b52de665a7413e129928d8da546cd1ac7e5f9c4?cid=63a77ff40e794a12ae216a18befde98c,0.317,0.921,11,-4.25,0,0.0727,0.104,0.0,0.25,0.272,187.361
The Silent Force,2004-11-15,2004,3CQs5xR5a1VYHycXtAScb7,jillian (i'd give my heart),286680,44,https://p.scdn.co/mp3-preview/71ce3c6d930988ba3f5695e7df9c98158d3516f4?cid=63a77ff40e794a12ae216a18befde98c,0.418,0.826,9,-6.229,0,0.0472,0.0461,0.000102,0.0981,0.285,167.978
The Silent Force,2004-11-15,2004,15z9QEJOBV6hDdWsdZwDKP,stand my ground,267986,55,https://p.scdn.co/mp3-preview/86774c051d057643a6daaa1b1fdbdca0e2f7c2fc?cid=63a77ff40e794a12ae216a18befde98c,0.251,0.866,5,-4.072,0,0.0503,0.0494,0.000873,0.116,0.129,87.714
The Silent Force,2004-11-15,2004,1H7QsLi8guIq69wlk2J8VF,pale,268413,42,https://p.scdn.co/mp3-preview/a6b334dfd34bd41655c36faf70608c6a3001979d?cid=63a77ff40e794a12ae216a18befde98c,0.439,0.74,9,-5.656,0,0.0318,0.653,7.39e-05,0.0743,0.178,108.0
The Silent Force,2004-11-15,2004,1O69rWQLUiNrhIRdeiLa6S,forsaken,293493,41,https://p.scdn.co/mp3-preview/f18f45599e52849ca9f10720c12553f576823df9?cid=63a77ff40e794a12ae216a18befde98c,0.441,0.922,9,-4.555,0,0.0665,0.00852,0.00012,0.102,0.235,98.961
The Silent Force,2004-11-15,2004,3TEwbiC0GhIRStn3Eabtu7,angels,240440,55,https://p.scdn.co/mp3-preview/1dbf69a32db3b4d23f0311f2bfbd2afd40bfbfdf?cid=63a77ff40e794a12ae216a18befde98c,0.341,0.867,7,-4.727,0,0.0492,0.293,0.0,0.257,0.2,182.023
The Silent Force,2004-11-15,2004,17AtQU2FNV14jSGpPfhejn,memories,231186,50,https://p.scdn.co/mp3-preview/5273e1ffb4bde07151663d8320a9a0235bb99a00?cid=63a77ff40e794a12ae216a18befde98c,0.432,0.682,10,-7.393,0,0.0275,0.148,2.28e-06,0.187,0.201,90.953
The Silent Force,2004-11-15,2004,2TP2q5sh6I9jBVkJPDu7tW,aquarius,286680,40,https://p.scdn.co/mp3-preview/34812a094c52ed0d49f9842c0a6bd6b8a219ee34?cid=63a77ff40e794a12ae216a18befde98c,0.401,0.929,7,-3.779,0,0.114,0.107,0.00016,0.317,0.23,144.009
The Silent Force,2004-11-15,2004,0Ad1VzFHjX067PDxiceBTn,it's the fear   demo version,246840,37,https://p.scdn.co/mp3-preview/6f2a486c7834203e6ee219600d489c7ced880679?cid=63a77ff40e794a12ae216a18befde98c,0.485,0.843,0,-4.026,1,0.0332,0.00276,0.00286,0.17,0.517,94.051
The Silent Force,2004-11-15,2004,04SAiuyqkFWJUSrmiEMgVo,somewhere,253506,45,https://p.scdn.co/mp3-preview/3d83df39411021b0f851cf22a251144be1f2cdc0?cid=63a77ff40e794a12ae216a18befde98c,0.229,0.558,11,-7.948,0,0.0341,0.238,4.29e-05,0.0772,0.0775,113.279
The Silent Force,2004-11-15,2004,6D5ih8y9mKmCSkuZO2Up2Q,a dangerous mind,256533,34,https://p.scdn.co/mp3-preview/c2c47b037fe1394ca156b7edd0ea8c82bf6d4d5d?cid=63a77ff40e794a12ae216a18befde98c,0.365,0.894,6,-5.491,0,0.0727,0.0711,0.000378,0.135,0.476,180.2
The Silent Force,2004-11-15,2004,0hShpzIaJdb5nd1nNnBKmQ,the swan song,237573,34,https://p.scdn.co/mp3-preview/f7a7c64a916cf764379d8b20beeedea326c62762?cid=63a77ff40e794a12ae216a18befde98c,0.336,0.533,8,-6.654,0,0.0288,0.417,1.24e-05,0.0983,0.282,79.958
The Heart Of Everything,2007-11-09,2007,19BMw9z6SBfVQJyfCnAFyo,the howling,333866,27,https://p.scdn.co/mp3-preview/5a1858b2ce45e2a4f393d8fdf9dfd8e10a715996?cid=63a77ff40e794a12ae216a18befde98c,0.444,0.953,6,-4.171,0,0.0681,0.0115,0.00837,0.105,0.279,93.008
The Heart Of Everything,2007-11-09,2007,209U1Dxfp3k9FSYQ9oMUwk,what have you done,313333,30,https://p.scdn.co/mp3-preview/2b800076c0b572cd8fbf44ecbe76f27310bbeae4?cid=63a77ff40e794a12ae216a18befde98c,0.258,0.932,6,-3.813,0,0.187,0.00358,0.000138,0.0982,0.123,113.333
The Heart Of Everything,2007-11-09,2007,63mrUTw3Mu92KVAzpsKVA6,frozen,268373,26,https://p.scdn.co/mp3-preview/05928ffd64f68038a7dcb6e1e607e4f4c72064d5?cid=63a77ff40e794a12ae216a18befde98c,0.397,0.891,1,-4.505,0,0.06,0.0359,1.02e-05,0.1,0.139,143.861
The Heart Of Everything,2007-11-09,2007,2hhI2KPsMNedW6BTk1ktIJ,our solemn hour,257160,27,https://p.scdn.co/mp3-preview/633032209e5ab84d803a7655797a734cf0fcf893?cid=63a77ff40e794a12ae216a18befde98c,0.258,0.917,2,-3.148,0,0.0707,0.0402,4.89e-06,0.41,0.361,176.173
