album_id,album_name,album_type,artists,release_year,release_date,cover_album,total_tracks,available_markets,total_available_markets,album_uri
4bHxlso02RaAgI7VRUpbrz,Enter,album,Within Temptation,1997,1997-04-06,https://i.scdn.co/image/ab67616d0000b2733d9bc1a0f62a6b71e8d97134,8,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",78,spotify:album:4bHxlso02RaAgI7VRUpbrz
63rlrEjFSRaN6ZP41vzJ7t,The Dance,single,Within Temptation,1998,1998-07-21,https://i.scdn.co/image/ab67616d0000b273ea5921f43ecad14e96b0f498,5,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",78,spotify:album:63rlrEjFSRaN6ZP41vzJ7t
2eUdhPZOgcYV4EU2lZC8xQ,Mother Earth,album,Within Temptation,2000,2000-12-24,https://i.scdn.co/image/ab67616d0000b2733bcb67c1f6930d5d6619fac4,14,"BE,BR,LU,NL",4,spotify:album:2eUdhPZOgcYV4EU2lZC8xQ
01J8f25FtFdLr9RkEjLdHV,Stand My Ground,single,Within Temptation,2001,2001-01-01,https://i.scdn.co/image/ab67616d0000b273fcef90f88820ab7271ac3e71,3,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HN,HU,IE,IL,IS,IT,JO,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,NI,NL,NO,NZ,OM,PA,PE,PL,PS,PT,PY,QA,RO,SA,SE,SK,SV,TN,TR,UY,ZA",68,spotify:album:01J8f25FtFdLr9RkEjLdHV
5xgEqUqTQ19PPt5bElrS7V,Mother Earth,album,Within Temptation,2003,2003-02-17,https://i.scdn.co/image/ab67616d0000b27395d715c7953b9852c4870dc6,14,"AD,AE,AR,AT,AU,BG,BH,BO,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LV,MA,MC,MT,MX,MY,NI,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",75,spotify:album:5xgEqUqTQ19PPt5bElrS7V
0ehbgVEz64sK4LKPYrI6Os,Ice Queen,single,Within Temptation,2003,2003-05-12,https://i.scdn.co/image/ab67616d0000b2736e921278a55b1c98648ff802,3,"AD,AE,AR,AT,AU,BG,BH,BO,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GR,GT,HN,HU,IE,IL,IS,IT,JO,JP,KW,LB,LI,LT,LV,MA,MC,MT,MX,NI,NO,NZ,OM,PA,PE,PL,PS,PT,PY,QA,RO,SA,SE,SK,SV,TN,TR,UY,ZA",63,spotify:album:0ehbgVEz64sK4LKPYrI6Os
4j5gtY29b8exlWOFL7WhGe,Mother Earth,single,Within Temptation,2003,2003-10-03,https://i.scdn.co/image/ab67616d0000b273649a0772b3d615b048c54e81,5,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,UY,VN,ZA",77,spotify:album:4j5gtY29b8exlWOFL7WhGe
4HQlkv5CDvNmzIJSXjkWJr,Celtic Circle,compilation,Various Artists,2003,2003-10-07,https://i.scdn.co/image/ab67616d0000b273a10854aae266c65b08c719b2,31,"AR,BO,BR,CA,CL,CO,CR,DO,EC,GT,HK,HN,ID,IN,MX,MY,NI,PA,PE,PH,PY,SG,SV,TH,TW,US,UY,VN",28,spotify:album:4HQlkv5CDvNmzIJSXjkWJr
7BO8ztdVgp7rPuQhED9xVw,Stand My Ground,single,Within Temptation,2004,2004-10-25,https://i.scdn.co/image/ab67616d0000b273853760ee5786e221aeeb51fa,4,"AE,AR,AU,BH,BO,BR,CL,CO,CR,DO,EC,EG,GT,HN,JO,KW,LB,MX,NI,NZ,OM,PA,PE,PS,PY,QA,SA,SV,UY",29,spotify:album:7BO8ztdVgp7rPuQhED9xVw
7Mqb9JDLwwr4kLuNXFnuJZ,The Silent Force,album,Within Temptation,2004,2004-11-15,https://i.scdn.co/image/ab67616d0000b27385fc8567babaf945bda677c3,13,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",79,spotify:album:7Mqb9JDLwwr4kLuNXFnuJZ
