song_title,lyrics
solitude,"How many times have you told me. you love her. As many times as I've wanted to tell you the truth. How long have I stood here beside you. I live through you. You looked through me. Ooh, Solitude,. Still with me is only you. Ooh, Solitude,. I can't stay away from you. How many times have I done this to myself. How long will it take before I see. When will this hole in my heart be mended. Who now is left alone but me. Ooh, Solitude,. Forever me and forever you. Ooh, Solitude,. Only you, only true. Everyone leave me stranded. Forgotten, abandoned, left behind. I can't stay here another night. Your secret in my heart. Who could it be. Ooh, Can't you see. All along it was me. How can you be so blind. As to see right through me. And Ooh, Solitude,. Still with me is only you. Ooh, Solitude,. I can't stay away from you. Ooh, Solitude,. Forever me and forever you. Ooh, Solitude,. Only you, only true"
say you will,"It's taking you too long to decide. And I don't want to be the one, the one. Crying over wasted time. If you think you're strong enough to let me in. Then come on, stand up and be honest, be honest. I'm tired of feeling so alone. Cause you won't let me understand. I don't wanna pretend, I wanna feel, I want to love. Say you will or say you won't. Open your heart to me. Now or never, tell the truth. Is this real, is this real?. Whenever you're around, I can't fight it. You get under my skin the way that I like it. And I can't take anymore. Tell me what you want from me or leave me alone. 'Cause I'm all caught up and I'm losing control. I'm tired of holding on so tight. When you won't let me understand. Now I'm falling apart. I never meant to lose myself. Say you will or say you won't. Open your heart to me. Now or never, tell the truth. Is this real, is this real. Say you will or say you won't. Open your heart to me. Now or never, tell the truth. Is this real, is this real?. Like drops of rain against my heart. Cut through like silver. And I want to make you feel that way. And I want to make you feel the way that I do. Say you will or say you won't. Open your heart to me. Now or never, tell the truth. Is this real?. Say you will or say you won't. Open your heart to me. Now or never, tell the truth. Is this real, is this real?"
must be dreaming,"How can I pretend that I don't see?. What you hide so carelessly?. I saw her bleed; you heard me breathe.. And I froze inside myself and turned away.. I must be dreaming.. (Chorus). We all live.. We all die.. That does not begin to justify you.. It's not what it seems,. Not what you think.. No, I must be dreaming.. It's only in my mind,. Not real life.. No, I must be dreaming.. (Instrument break). Help! I know I've got to tell someone.. Tell them what I know you've done.. I fear you, but spoken fears can come true.. (Chorus). We all live.. We all die.. That does not begin to justify you.. It's not what it seems,. Not what you think.. No, I must be dreaming.. It's only in my mind,. Not real life.. No, I must be dreaming.. (Instrument break). (Chorus). We all live.. We all die.. That does not begin to justify you.. It's not what it seems,. Not what you think.. No, I must be dreaming.. It's only in my mind,. Not real life.. No, I must be dreaming."
lose control,"You don't remember my name. I don't really care. Can we play the game your way?. Can I really lose control?. Just once in my life. I think it'd be nice. Just to lose control - just once. With all the pretty flowers in the dust. Mary had a lamb. His eyes black as coals. If we play very quiet, my lamb. Mary never has to know. Just once in my life. I think it'd be nice. Just to lose control- just once. If I cut you down to a thing I can use. I fear there will be nothing good left of you"
the change,"Thought that I was strong. I know the words I need to say. Frozen in my place. I let the moment slip away. I've been screaming on the inside. And I know you feel the pain. Can you hear me?. Can you hear me?. Oh... Oh... Oh.... Oh... Oh... Oh.... Say it's over. Yes it's over. But I need you anyway. Say you love me but it's not enough. Never meant to lie. But I'm not the girl you think you know. The more that I am with you. The more that I am all alone. I've been screaming on the inside. And I know you feel the pain. Can you hear me?. Can you hear me?. Oh... Oh... Oh.... Oh... Oh... Oh.... Say it's over. Yes it's over. But I need you anyway. Say you love me but it's not enough. Not that I'm so different. Not that I don't see. The dying light of what we used to be. But how could I forgive you?. You've changed!. And I'm a liar by your side. I'm about to lose my mind. 'Cause I've been screaming on the inside. And I know you feel the pain. Can you hear me?. Can you hear me?. Oh.... You've been dreaming. If you're thinking. That I still belong to you. And I've been dying,. Because I'm lying to myself!. Oh... Oh... Oh.... Oh... Oh... Oh.... Say it's over. Yes it's over. But I need you anyway. Say you love me but it's not enough"
together again,Never thought that I'd be leaving you today. So alone and wondering why I feel this way. So wide the world. Can love remember how to get me home to you. Someday.... We'll be together again. All just a dream in the end. We'll be together again. So many fears were swimming around and around in my mind. Who would have dreamed the secrets we would find. I've found a world where love and dreams and darkness all collide. Maybe this time we can leave our broken world behind. We'll be together again. All just a dream in the end
bring me to life,"how can you see into my eyes. like open doors. leading you down into my core. where I've become so numb without a soul. my spirit sleeping somewhere cold. until you find it there and lead it back home. (Wake me up). Wake me up inside. (I can't wake up). Wake me up inside. (Save me). call my name and save me from the dark. (Wake me up). bid my blood to run. (I can't wake up). before I come undone. (Save me). save me from the nothing I've become. now that I know what I'm without. you can't just leave me. breathe into me and make me real. bring me to life. (Wake me up). Wake me up inside. (I can't wake up). Wake me up inside. (Save me). call my name and save me from the dark. (Wake me up). bid my blood to run. (I can't wake up). before I come undone. (Save me). save me from the nothing I've become. Bring me to life. (I've been living a lie, there's nothing inside). Bring me to life. frozen inside without your touch. without your love darling. only you are the life among the dead. all this time I can't believe I couldn't see. kept in the dark. but you were there in front of me. I've been sleeping a thousand years it seems. got to open my eyes to everything. without a thought without a voice without a soul. don't let me die here. there must be something more. bring me to life. (Wake me up). Wake me up inside. (I can't wake up). Wake me up inside. (Save me). call my name and save me from the dark. (Wake me up). bid my blood to run. (I can't wake up). before I come undone. (Save me). save me from the nothing I've become. (Bring me to life). I've been living a lie, there's nothing inside. (Bring me to life)"
erase this,It's too late to change your mind. Even though this fragile world is tearing apart at the seams. You can't wash these sins away. A sinking feeling every day. I'm waking up in someone else's life. Is it so hard for you. Cause it's so hard for me. To believe in what we dreamed. Could ever come to life again. Cause I cannot erase this lie. I'm not gonna let this day go by. I'm gonna save this wasted life. And nothing can stand in my way. Not enough to say goodbye. Run until there's nothing left. I'm drowning in the mess that I have made. Is it so hard for you. Cause it's so hard for me. To believe in what we dreamed. Could ever come to life again. Cause I cannot erase this lie. Someone hear me. The water's rising around us. There is no other way down. I only have myself to blame. For it all. Is it so hard for you. Cause it's so hard for me. To believe in what we dreamed. Could ever come to life again. If I could just erase my mind. But I cannot erase this lie
wake me up inside bring me to life,"How can you see into my eyes. Like open doors. Leading you down into my core. Where I've been come so numb.. Whithout a soul. My spirit's sleeping somewhere cold. Until you find it there and lead it back home. (Wake me up). Wake me up inside. (I can't wake up). Wake me up inside. (Save me). Call my name and save me from the dark. (Wake me up). Bid my blood to run. (I can't wake up). Before I come undone. (Save me). Save me from the nothing I've become. Now that I know what I'm without. You can't just leave me. Breathe into me and make me real. Bring me to life. (Wake me up). Wake me up inside. (I can't wake up). Wake me up inside. (Save me). Call my name and save me from the dark. (Wake me up). Bid my blood to run. (I can't wake up). Before I come undone. (Save me). Save me from the nothing I've become. Bring me to life. (I've been living a lie, there's nothing inside). Bring me to life. Frozen inside without your touch. Without your love, darling. Only you are the life among the dead. (All of this sight I can't believe). (I couldn't see kept in the dark). (But you were there in front of me). I've been sleeping a 1000 years it seems. I've got to open my eyes to everything. (Without a thought, without a voice). (Without a soul don't let me die here). (There must be some thing wrong). Bring me to life. [Wake me up). Wake me up inside. [I can't wake up). Wake me up inside. [Save me). Call my name and save me from the dark. (Wake me up). Bid my blood to run. (I can't wake up). Before I come undone. (Save me). Save me from the nothing I've become. Bring me to life. (I've been living a lie, there's nothing inside). Bring me to life"
tourniquet,"I tried to kill the pain. But only brought more (so much more). I lay dying. And I'm pouring crimson regret and betrayal. I'm dying (dying). Praying (praying). Bleeding (bleeding). And screaming. Am I too lost to be saved?. Am I too lost?. My God, my tourniquet. Return to me salvation. My God, my tourniquet. Return to me salvation. Do you remember me?. Lost for so long. Will you be on the other side?. Will you forget me?. I'm dying (dying). Praying (praying). Bleeding (bleeding). And screaming. Am I too lost to be saved?. Am I too lost?. My God, my tourniquet. Return to me salvation. My God, my tourniquet. Return to me salvation. (Return to me salvation). [I want to die]. My God, my tourniquet. Return to me salvation. My God, my tourniquet. Return to me salvation. My wounds cry for the grave. My soul cries for deliverance. Will I be denied?. Christ -. tourniquet -. my suicide"
