song_title,lyrics
a dangerous mind,"Cause something is not right. I follow the signs. I'm close to the fire. I fear that soon you'll reveal. Your dangerous mind. It's in your eyes, what's on your mind. I fear your smile and the promise inside. It's in your eyes, what's on your mind. I fear your presence, I'm frozen inside. I'm searching for answers. Not questioned before. The curse of awareness. There's no peace of mind. As your true colours show. A dangerous sign. It's in your eyes, what's on your mind. I see the truth that you've buried inside. It's in your eyes, what's on your mind. There is no mercy, just anger I find. I just have to know, while I still have time. Do I have to run, or hide away from you?. It's in your eyes, what's on your mind. I see the truth that you've buried inside. It's in your eyes, what's on your mind. There is no mercy, just anger I find"
a demons fate,"Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. You'll burn this time, seeing the violence. It's feeding my mind, no one is saving you. How can you find a heaven in this hell. Leave it behind, hearing your silence. It screams our goodbye. Cannot believe it's an eye for an eye. Love is gone to waste. Angels have faith. I don't want to be a part of his sin. I don't want to get lost in his world. I'm not playing this game. When the shadows remain in the light of day. On the wings of darkness, he'll retaliate. He'll be falling from grace. Till the end of all his days. From the ashes of hate, it's a cruel demon's fate. On the wings of darkness, he's returned to stay. There will be no escape, 'cause he's fallen far from grace. Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. What have you done, is this what you wanted. What have you become, his soul's not forsaken. You're walking alone, from heaven into hell. Now that you know, your way in this madness. Your powers are gone, your chains have been broken. You've suffered so long, you will never change. Angels have faith. I don't want to be a part of his sin. I don't want to get lost in his world. I'm not playing this game. When the shadows remain in the light of day. On the wings of darkness, he'll retaliate. He'll be falling from grace. Till the end of all his days. From the ashes of hate, it's a cruel demon's fate. On the wings of darkness, he's returned to stay. There will be no escape, 'cause he's fallen far from grace. Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. Ooh, ooh, ooh, ooh, ooh. Angels have faith. I don't want to be a part of his sin. I don't want to get lost in his world. I'm not playing this game. When the shadows remain in the light of day. On the wings of darkness, he'll retaliate. He'll be falling from grace. Till the end of all his days. From the ashes of hate, it's a cruel demon's fate. On the wings of darkness, he's returned to stay. There will be no escape, 'cause he's fallen far from grace"
all i need,"I'm dying to catch my breath. Oh why don't I ever learn?. I've lost all my trust,. though I've surely tried to turn it around. Can you still see the heart of me?. All my agony fades away. when you hold me in your embrace. Don't tear me down for all I need. Make my heart a better place. Give me something I can believe. Don't tear me down. You've opened the door now, don't let it close. I'm here on the edge again. I wish I could let it go. I know that I'm only one step away. from turning it around. Can you still see the heart of me?. All my agony fades away. when you hold me in your embrace. Don't tear me down for all I need. Make my heart a better place. Give me something I can believe. Don't tear it down, what's left of me. Make my heart a better place. I tried many times but nothing was real. Make it fade away, don't break me down. I want to believe that this is for real. Save me from my fear. Don't tear me down. Don't tear me down for all I need. Make my heart a better place. Don't tear me down for all I need. Make my heart a better place. Give me something I can believe. Don't tear it down, what's left of me. Make my heart a better place. Make my heart a better place"
angels,"Sparkling angel I believed. You were my saviour in my time of need. Blinded by faith I couldn't hear. All the whispers, the warnings so clear. I see the angels. I'll lead them to your door. There's no escape now. No mercy no more. No remorse cause I still remember. The smile when you tore me apart. You took my heart. Deceived me right from the start. You showed me dreams. I wished they'd turn into real. You broke the promise and made me realise. It was all just a lie. Sparkling angel, I couldn't see. Your dark intensions, your feelings for me. Fallen angel, tell me why?. What is the reason, the thorn in your eye?. I see the angels. I'll lead them to your door. There's no escape now. No mercy no more. No remorse cause I still remember. The smile when you tore me apart. You took my heart. Deceived me right from the start. You showed me dreams. I wished they'd turn into real. You broke the promise and made me realise. It was all just a lie. Could have been forever. Now we have reached the end. This world may have failed you. It doesn't give you reason why. You could have chosen a different path in life. The smile when you tore me apart. You took my heart. Deceived me right from the start. You showed me dreams. I wished they'd turn into real. You broke the promise and made me realise. It was all just a lie. Could have been forever. Now we have reached the end"
another day,"I know you are going away. I take my love into another day. In my thoughts you're with me. I fell in love with your ways. I know you are going away. Lead my heart into a daze. I know you are going away. Leaves a void in my heart and soul. I know you are going away. I take my love into another day. In my thoughts you're with me. I fell in love with your ways. I know you are going away. Leads my heart into a daze. I know you are going away. Leaves a void in my heart and soul. Wherever you are. Whatever you do. I feel the walls surrounding you. Wherever you are. Whatever you do. I know you're independent. But I'm trying to get through to you. Wherever you are. Wherever you are. Don't you know, it depends on you. I know you are going away. Lead my heart into a daze. I know you are going away. Leave a void in my heart and soul"
aquarius,"I hear your whispers. Break the silence and it calms me down. Your taste on my lips. Your salty kisses. They say I'm seeking out the danger. That one day you won't let me go. (I'll drown, you'll take me down). I need you Aquarius. Enchanted I will have to stay. I feel you Aquarius. Cause you the sea set me free. You call to me Aquarius. (You call to me, you set me free). I relinquish to your powers. From your grasp, I just can't hide. I missed the danger I had to conquer. You made me feel alive. They say I have to be aware. That one day you won't let me go. (I'll drown, you'll take me down). I need you Aquarius. Enchanted I will have to stay. I feel you Aquarius. Cause you the sea set me free. You call to me Aquarius. I long for you Aquarius. I need to be with you again. I fear you Aquarius. My destiny till the end. I need you Aquarius. Enchanted I will have to stay. I feel you Aquarius. Cause you the sea set me free"
bittersweet,"If I tell you. Will you listen?. Will you stay?. Will you be here forever?. Never go away?. Never thought things would change,. Hold me tight. Please don't say again. That you have to go. A bitter thought. I had it all. But I just let it go. Hold your silence. It's so violent. Since you're gone. All my thoughts are with you forever. Until the day we'll be back together. I will be waiting for you. If I had told you. You would have listened. You had stayed. You would be here forever. Never went away. It would never have been the same. All our time. Would have been in vain. Cause you had to go. The sweetest thought. I had it all. Cause I did let you go. All our moments. Keep me warm. When you're gone. All my thoughts are with you forever. Until the day we'll be back together. I will be waiting for you"
blue eyes,"Blue eyes wide to the world. Full of dreams and with fascination. Too soon She saw that their hands were chained. And pulled without any freedom. It's always the same. I fear no way out. I cannot break it. I can't take it no more. It's burning me up inside. Lost all my tears, can't cry. No reason, no meaning. Just hatred. No matter how hard I try. You're fearing a beast inside. It's growing, it's waiting. Just to hurt you. This heart was hurt by the lights and. I see a world that tries to deny us. Now everything that I love had died. Our hands being Shattered to pieces"
caged,These are the darkest clouds. They have surrounded me. Now I find my self alone caught in a cage. There's no flower to be found in here. Not withering. Or pale to me. Everyone with a friendly face. Seems to hide some secret inside. He told me he loved me. While he laughed in my face. He just led me astray. He took my virtue. I feel so cold inside. Sorrow has frozen my mind. My heart is covered. With thoughts entangled. How could it ever have felt so real?. Is there a place more lonely than I feel within?. Could I have seen?. Could I have known?. I just took it as the truth. Everyone with a friendly face. Seems to hide some secret inside. He told me he loved me. While he laughed in my face. He just led me astray. He took my virtue. I feel so cold inside. Sorrow has frozen my mind. Always there to remind me. He keeps me from believing. That someone might be there. Who'll free me and never ever leave me. He told me he loved me. While he laughed in my face. He just led me astray. He took my virtue. I feel so cold inside. Sorrow has frozen my mind
candles,"Take away. These hands of darkness. Reaching for my soul. Now, the cold wind. Blows out my candles. Feeling. Only fear. Without any hope. A thousand dark moons. A thousand winters long. A million fallen stars. The candle burns in the womb. We try not to forget. They live through us. Slowly they die away at every candle's end. A thousand dark moons. A thousand winters long. A million fallen stars. The candle burns in the womb. We try not to forget. They live through us. Slowly they die away at every candle's end"
dark wings,"Why was I one of the chosen ones?. Until the fight I could not see. The magic and the strength of my power. It was beyond my wildest dreams. Dark wings they are descending. See shadows gathering around. One by one they are falling. Every time they try to strike us down. Don't you die on me. You haven't made your peace. Live life, breathe, breathe. Don't you die on me. You haven't made your peace. Live life, breathe, breathe. As they took your soul away. The night turned into the day. Blinded by your rays of life. Give us the strength we needed"
deceiver of fools,"He feeds on fear. He feeds on pain. He rules again. If for all he hate. He will guide. That faith again. Our lights in the darkness. Is too small to see. There's always a sparkle of hope. If you just believe. ------------------. He told the tale so many times. About the dream not meant to be. In a world of the free. He plays with your mind. As faith for the future faded fast. He grows strong with their displeasure. It sets him free. Deceiver of hearts. Deceiver of fools. He rules with fear. Deceiver of hopes. Deceiver of fools. He rules again. He feeds on fear. Poisons the truth. To gain their faith. To lead the way. To a world of decay. He rules your heart. He will sell your soul to the grave. Without a hesitation to make. He belongs to the dark. Deceiver of hearts. Deceiver of fools. He rules with fear. Deceiver of hopes. Deceiver of fools. He rules again. Please awake. And see the truth. He can only be. If you believe what he tells you. Remember who you are. What you stand for. And there will always be a way. Deceiver of hearts. Deceiver of fools. He rules with fear. Deceiver of hopes. Deceiver of fools. He rules again. In my heart there is a place. In my heart there is a trace. Of a small fire burning. A sheltering ray shines through this night. Although it's small, it's bright. But darkness is lurking. He will sell your soul to bitterness and cold. Oh fear him. Deceiver of hearts. Deceiver of fools. He rules with fear. Deceiver of hopes. Deceiver of fools. Shall he rule again?"
deep within,"Is there a place deep within. A place where you hide your darkest sins. There's a strange kind of ambiance. It's surrounding you. As a songstress lure me. Towards the truth. Candles die down as you leave the room. In my heart you leave no gloom. As you lure me I know the truth. You're a leprechaun, I see you through. Is there a place deep within. A place where you hide your darkest sins. There's a strange kind of ambiance. It's surrounding you. As a songstress lure me. Towards the truth"
destroyed,I did my best to please you. But my best was never good enough. Somehow you're only able to see. All I am not. Did you ever look behind. Aren't you afraid of the pieces you'll find. I have failed you. But you have failed me too. It's so easy to destroy and condemn. The ones you do not understand. Do you ever wonder if it's justified. It's so easy to destroy and condemn. The ones you do not understand. In your life why didn't you ever try. I close my eyes as I walk the thin line. Between love and hate. For the person with the same blood in his veins. You show no regrets. About all the things you did or said. I have failed you. But believe me. You failed me too. It's so easy to destroy and condemn. The ones you do not understand. Do you ever wonder if it's justified. It's so easy to destroy and condemn. The ones you do not understand. In your life why didn't you ever try. It's so easy to destroy and condemn. The ones you do not understand. Do you ever wonder if it's justified. It's so easy to destroy and condemn. The ones you do not understand. Do you ever wonder if it's justified
