mined_at,created_at,year,month,day,day_of_week,hour,minute,screen_name,tweet_id,tweet_id_str,retweet_count,favorite_count,source,language,user_favourites_count,followers_count,friends_count,text
2020-06-21 15:15:56.581408,2018-11-23 08:13:57+00:00,2018,11,23,4,8,13,WTofficial,1065881124608581632,1065881124608581632,178,645.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,Listen to our newest song 'Firelight' (feat. @JSteverlinck) entirely on @Spotify : https://t.co/pdiJsReYAN https://t.co/m7Kcy44LPD
2020-06-21 15:15:56.581408,2018-11-23 12:35:24+00:00,2018,11,23,4,12,35,WTofficial,1065946919866908672,1065946919866908672,47,229.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,"Blast 'Raise Your Banner' in ""Kickass Metal"" on Spotify for a kickstart of the track... Before the music video comes out! Because yes, it's coming soon...! Here's a link to the playlist: https://t.co/39xw5IMnX3"
2020-06-21 15:15:56.581408,2018-11-23 15:59:05+00:00,2018,11,23,4,15,59,WTofficial,1065998176732266499,1065998176732266499,23,200.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,58779,232507,198,"Tonight @AFASLive @ Amsterdam. There are still a few tickets left, so who’s up for some last minute head banging?! Photo: https://t.co/wWuIYDXiA9 https://t.co/s2LFYIgH7E"
2020-06-21 15:15:56.581408,2018-11-24 09:57:51+00:00,2018,11,24,5,9,57,WTofficial,1066269658934702081,1066269658934702081,33,231.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,58779,232507,198,The 1st @AFASLive show is a wrap and we are currently getting ready for the 2nd one.. Amsterdam LET’S GO! https://t.co/JIhmyt1pPf
2020-06-21 15:15:56.581408,2018-11-24 12:16:26+00:00,2018,11,24,5,12,16,WTofficial,1066304534945910790,1066304534945910790,81,417.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,Have you listened to our newest single 'Firelight' feat. @JSteverlinck yet? Click on the link and then press &lt;3 or +: https://t.co/Qvqp9BwFCj https://t.co/gRDCpdgrJq
2020-06-21 15:15:56.581408,2018-11-24 16:20:43+00:00,2018,11,24,5,16,20,WTofficial,1066366009047683072,1066366009047683072,134,836.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,We've had a blast last night and are now prepping for show number 2 in Amsterdam! RT if you are gonna be there tonight &lt;3! https://t.co/lva6h0D8rZ
2020-06-21 15:15:56.581408,2018-11-25 11:00:41+00:00,2018,11,25,6,11,0,WTofficial,1066647857908903936,1066647857908903936,25,196.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,Thank you @AppleMusic for adding us to your Breaking Hard Rock playlist! Go listen to it right here: https://t.co/kai3cDDh4E
2020-06-21 15:15:56.581408,2018-11-26 17:14:02+00:00,2018,11,26,0,17,14,WTofficial,1067104203598962689,1067104203598962689,27,190.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,Tonight's your last chance to get 25% discount on your favorite WT items! Link to sale: https://t.co/Xo2eG77QcW https://t.co/xKJi8liK8X
2020-06-21 15:15:56.581408,2018-11-27 19:42:01+00:00,2018,11,27,1,19,42,WTofficial,1067503831989346309,1067503831989346309,20,194.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,We uploaded all the band + audience tour photos on our FB page. Tag yourself in the audience if you were there :-)! (All photos by https://t.co/wWuIYDXiA9): https://t.co/KXu3UA2FMC
2020-06-21 15:15:56.581408,2018-11-28 17:22:54+00:00,2018,11,28,2,17,22,WTofficial,1067831208581713922,1067831208581713922,42,321.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,"A new day, a new sneak preview of our music video. Stream 'Raise Your Banner' on your Spotify app and set to full screen mode: https://t.co/Rk7XTKWEmL https://t.co/V07Ib0pJ0G"
2020-06-21 15:15:56.581408,2018-11-29 11:01:56+00:00,2018,11,29,3,11,1,WTofficial,1068097726418731014,1068097726418731014,20,152.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,58779,232507,198,Our last sneak peek before.... 🔥. Go have a listen and watch it on Spotify: https://t.co/f5UsBTr4oP https://t.co/pAFGZAufiw
2020-06-21 15:15:56.581408,2018-11-29 14:43:26+00:00,2018,11,29,3,14,43,WTofficial,1068153467590582273,1068153467590582273,97,385.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,"On Friday we will release the official music video for 'Raise Your Banner' (feat. Anders Fridén). We want watch our new music video TOGETHER WITH YOU. Therefore we invite you to be part of the premiere while doing a live chat with us. Tomorrow, 2PM. Go to: https://t.co/askFA6mGwL"
2020-06-21 15:15:56.581408,2018-11-30 11:20:19+00:00,2018,11,30,4,11,20,WTofficial,1068464738143780864,1068464738143780864,45,250.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,The official premiere of 'Raise Your Banner' (feat. Anders Fridén from In Flames) drops in less than 2 hours and we will be here for a chat with YOU! You can send us your questions right now and we'll make sure to answer them during our live premiere! https://t.co/askFA6mGwL
2020-06-21 15:15:56.581408,2018-11-30 13:18:55+00:00,2018,11,30,4,13,18,WTofficial,1068494586027356160,1068494586027356160,113,403.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,58779,232507,198,Here is the brand new music video for 'Raise Your Banner' (feat. Anders Fridén from In Flames) Thank you all for watching the live premiere with us and the live chat with Sharon! Apparently it was a very short chat but we've had a blast. Now go and enjoy: https://t.co/askFA6mGwL
