mined_at,created_at,year,month,day,day_of_week,hour,minute,screen_name,tweet_id,tweet_id_str,retweet_count,favorite_count,source,language,user_favourites_count,followers_count,friends_count,text
2020-06-21 15:08:32.082042,2009-09-22 22:11:50+00:00,2009,9,22,1,22,11,evanescence,4299730309,4299730309,31,45,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",pt,424,1230546,63,"New show date - Maquinaria Festival 11/8 in Sao Paulo, Brazil, get tickets here: http://ow.ly/qAa7"
2020-06-21 15:08:32.082042,2009-10-01 05:35:53+00:00,2009,10,1,3,5,35,evanescence,4518317488,4518317488,11,22,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,"@AmyLeeEv, @TerryBalsamo, & @Tim_McCord are now on Twitter!"
2020-06-21 15:08:32.082042,2009-10-20 18:19:49+00:00,2009,10,20,1,18,19,evanescence,5024203874,5024203874,9,7,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,"Secret Show in NYC! November 4 at the Grand Ballroom. Presale on EvClub starts tomorrow 12pm EDT, available to everyone Friday 12pm EDT!"
2020-06-21 15:08:32.082042,2009-10-20 22:05:43+00:00,2009,10,20,1,22,5,evanescence,5028618927,5028618927,7,6,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,This is the link where you will be able to buy tickets for the NYC show: http://www.ticketmaster.com/event/00004347925954E8
2020-06-21 15:08:32.082042,2009-10-22 17:09:56+00:00,2009,10,22,3,17,9,evanescence,5074065715,5074065715,16,29,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,http://twitpic.com/mhit8 - This is one of my favorite places. Many of our songs have started right here.
2020-06-21 15:08:32.082042,2009-10-23 16:08:15+00:00,2009,10,23,4,16,8,evanescence,5100158423,5100158423,10,7,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,Tickets on sale now for the NYC 11/4 Secret show w/ @civil_twilight_ Get yours now - http://ow.ly/wbCy
2020-06-21 15:08:32.082042,2009-10-26 19:49:25+00:00,2009,10,26,0,19,49,evanescence,5181085559,5181085559,18,35,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,http://twitpic.com/n1yax - Recording demos for the new album in my studio
2020-06-21 15:08:32.082042,2009-10-27 21:51:48+00:00,2009,10,27,1,21,51,evanescence,5212097976,5212097976,14,10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,"Win 2 tickets to see Evanescence perform LIVE on 11/4 in NYC (must be 18), 100th to RT wins! Rules: http://bit.ly/49HIPn"
2020-06-21 15:08:32.082042,2009-11-01 16:28:40+00:00,2009,11,1,6,16,28,evanescence,5340445812,5340445812,14,7,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,RT @AmyLeeEV : @civil_twilight_ will be opening for us on the fourth. Check 'em out! http://tinyurl.com/kqymgy
2020-06-21 15:08:32.082042,2009-11-05 17:18:58+00:00,2009,11,5,3,17,18,evanescence,5454561105,5454561105,18,16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,In case you couldn't make it last night :) http://ow.ly/zB0M
2020-06-21 15:08:32.082042,2010-01-09 21:06:10+00:00,2010,1,9,5,21,6,evanescence,7569061766,7569061766,79,34,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,RT@amyleeev We are officially going into the studio to record our third album next month. I'm beyond excited and will keep you up to date!
2020-06-21 15:08:32.082042,2010-01-22 18:11:05+00:00,2010,1,22,4,18,11,evanescence,8078788390,8078788390,101,27,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,"Today we are releasing a new song, Together Again, and the proceeds are going to help Haiti! Details to follow!"
2020-06-21 15:08:32.082042,2010-01-22 19:20:11+00:00,2010,1,22,4,19,20,evanescence,8081042469,8081042469,62,11,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,"Donate $5 or more to UNF for Haiti relief to download our previously unreleased track, Together Again! www.unfoundation.org/evanescence"
2020-06-21 15:08:32.082042,2010-01-22 19:34:44+00:00,2010,1,22,4,19,34,evanescence,8081504792,8081504792,34,10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,"www.unfoundation.org/evanescence (posted the link wrong the first time, sorry!)"
2020-06-21 15:08:32.082042,2010-01-23 20:50:16+00:00,2010,1,23,5,20,50,evanescence,8123370977,8123370977,88,31,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,"Thanks for all your kind words about Together Again. More importantly, thank you for giving to Haiti.  www.unfoundation.org/evanescence"
2020-06-21 15:08:32.082042,2010-02-19 21:45:38+00:00,2010,2,19,4,21,45,evanescence,9354113886,9354113886,55,10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,"RT @AmyLeeEV: Yes, MONDAY!!! I can't believe it! :D @evrec2 the recording of the new album will really begin on monday?"
2020-06-21 15:08:32.082042,2010-02-23 16:41:40+00:00,2010,2,23,1,16,41,evanescence,9532864897,9532864897,72,15,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,424,1230546,63,RT @WindUpRecords  @Evanescence 's previously unreleased track #TogetherAgain is now available for DL - http://ow.ly/1anrc RT your review!
